x1,y1,z1,x2,y2,z2,x3,y3,z3,
0.200448,0.0866129,0.0195686,2.55809,16.7963,6.60893,18.3971,21.2738,-8.56579,
0.203654,0.088843,0.0200619,2.35071,16.8514,6.62924,18.2839,21.4494,-8.63543,
0.206869,0.0911038,0.0205616,2.14304,16.9041,6.64861,18.17,21.6243,-8.70477,
0.210093,0.0933952,0.0210677,1.93511,16.9545,6.66705,18.0556,21.7985,-8.77381,
0.213325,0.0957173,0.0215801,1.72695,17.0025,6.68454,17.9405,21.972,-8.84256,
0.216565,0.0980699,0.0220989,1.51859,17.0482,6.70111,17.8249,22.1448,-8.911,
0.219813,0.100453,0.022624,1.31006,17.0915,6.71674,17.7087,22.3168,-8.97914,
0.223067,0.102867,0.0231554,1.10139,17.1325,6.73144,17.5919,22.4881,-9.04698,
0.226328,0.105311,0.0236931,0.892618,17.1712,6.74521,17.4745,22.6588,-9.11452,
0.229596,0.107785,0.024237,0.683761,17.2076,6.75806,17.3566,22.8286,-9.18176,
0.23287,0.11029,0.0247871,0.474852,17.2417,6.77,17.2382,22.9978,-9.24871,
0.236149,0.112825,0.0253434,0.265922,17.2734,6.78101,17.1192,23.1663,-9.31535,
0.239433,0.11539,0.0259059,0.0569972,17.3029,6.79111,16.9997,23.334,-9.3817,
0.242723,0.117984,0.0264745,-0.151893,17.3301,6.80029,16.8796,23.501,-9.44774,
0.246017,0.120609,0.0270492,-0.360722,17.355,6.80857,16.759,23.6673,-9.51349,
0.249315,0.123264,0.02763,-0.569461,17.3776,6.81595,16.6379,23.8329,-9.57894,
0.252617,0.125949,0.0282168,-0.778082,17.398,6.82242,16.5164,23.9978,-9.6441,
0.255923,0.128663,0.0288096,-0.98656,17.4161,6.82799,16.3943,24.162,-9.70896,
0.259231,0.131407,0.0294085,-1.19487,17.432,6.83267,16.2717,24.3254,-9.77352,
0.262543,0.13418,0.0300132,-1.40298,17.4456,6.83646,16.1487,24.4882,-9.83778,
0.265857,0.136983,0.0306239,-1.61086,17.457,6.83936,16.0252,24.6502,-9.90176,
0.269173,0.139815,0.0312405,-1.8185,17.4662,6.84138,15.9012,24.8115,-9.96543,
0.272491,0.142677,0.0318629,-2.02586,17.4731,6.84252,15.7768,24.9721,-10.0288,
0.27581,0.145567,0.0324911,-2.23292,17.4779,6.84279,15.6519,25.132,-10.0919,
0.27913,0.148486,0.0331251,-2.43965,17.4805,6.84219,15.5266,25.2912,-10.1547,
0.282452,0.151434,0.0337649,-2.64603,17.4809,6.84071,15.4009,25.4497,-10.2172,
0.285774,0.154411,0.0344104,-2.85204,17.4791,6.83838,15.2747,25.6075,-10.2794,
0.289096,0.157417,0.0350615,-3.05764,17.4751,6.83519,15.1481,25.7646,-10.3413,
0.292417,0.160451,0.0357183,-3.26282,17.469,6.83114,15.0211,25.921,-10.403,
0.295739,0.163513,0.0363806,-3.46755,17.4608,6.82625,14.8937,26.0767,-10.4643,
0.29906,0.166604,0.0370486,-3.67181,17.4504,6.82051,14.7658,26.2317,-10.5254,
0.302379,0.169723,0.037722,-3.87558,17.438,6.81392,14.6376,26.386,-10.5861,
0.305698,0.17287,0.0384009,-4.07883,17.4234,6.80651,14.5091,26.5396,-10.6466,
0.309015,0.176045,0.0390853,-4.28153,17.4067,6.79826,14.3801,26.6925,-10.7068,
0.312329,0.179247,0.0397751,-4.48367,17.3879,6.78919,14.2507,26.8447,-10.7667,
0.315642,0.182477,0.0404703,-4.68523,17.3671,6.77929,14.121,26.9962,-10.8263,
0.318952,0.185735,0.0411707,-4.88618,17.3442,6.76858,13.991,27.147,-10.8857,
0.32226,0.18902,0.0418765,-5.08649,17.3192,6.75706,13.8605,27.2972,-10.9447,
0.325564,0.192332,0.0425875,-5.28616,17.2923,6.74473,13.7298,27.4467,-11.0035,
0.328865,0.195672,0.0433037,-5.48515,17.2633,6.73159,13.5987,27.5955,-11.062,
0.332162,0.199038,0.044025,-5.68345,17.2322,6.71766,13.4672,27.7436,-11.1202,
0.335456,0.202431,0.0447515,-5.88104,17.1992,6.70294,13.3354,27.891,-11.1781,
0.338745,0.20585,0.0454831,-6.07789,17.1642,6.68743,13.2033,28.0377,-11.2357,
0.342031,0.209297,0.0462197,-6.27398,17.1272,6.67114,13.0709,28.1838,-11.2931,
0.345311,0.212769,0.0469612,-6.4693,17.0883,6.65408,12.9382,28.3292,-11.3502,
0.348587,0.216268,0.0477078,-6.66382,17.0474,6.63624,12.8052,28.4739,-11.407,
0.351857,0.219792,0.0484592,-6.85753,17.0045,6.61763,12.6718,28.618,-11.4636,
0.355122,0.223343,0.0492155,-7.0504,16.9598,6.59827,12.5382,28.7614,-11.5198,
0.358381,0.226919,0.0499766,-7.24242,16.9131,6.57815,12.4043,28.9041,-11.5758,
0.361635,0.230521,0.0507425,-7.43356,16.8645,6.55728,12.2701,29.0462,-11.6315,
0.364882,0.234149,0.0515131,-7.62382,16.8141,6.53566,12.1356,29.1876,-11.687,
0.368123,0.237802,0.0522884,-7.81316,16.7618,6.51331,12.0009,29.3284,-11.7421,
0.371357,0.241479,0.0530683,-8.00158,16.7076,6.49022,11.8659,29.4685,-11.797,
0.374585,0.245182,0.0538528,-8.18905,16.6516,6.4664,11.7306,29.6079,-11.8517,
0.377805,0.24891,0.0546419,-8.37556,16.5937,6.44186,11.5951,29.7467,-11.9061,
0.381018,0.252662,0.0554354,-8.56109,16.534,6.41661,11.4593,29.8849,-11.9602,
0.384224,0.256439,0.0562335,-8.74561,16.4726,6.39064,11.3232,30.0223,-12.014,
0.387422,0.26024,0.0570359,-8.92912,16.4093,6.36396,11.187,30.1592,-12.0676,
0.390611,0.264066,0.0578427,-9.1116,16.3442,6.33659,11.0505,30.2954,-12.1209,
0.393793,0.267915,0.0586538,-9.29303,16.2774,6.30852,10.9137,30.431,-12.1739,
0.396966,0.271788,0.0594692,-9.4734,16.2089,6.27976,10.7768,30.5659,-12.2267,
0.400131,0.275685,0.0602888,-9.65268,16.1386,6.25032,10.6396,30.7002,-12.2792,
0.403287,0.279606,0.0611126,-9.83086,16.0666,6.22019,10.5022,30.8339,-12.3315,
0.406434,0.283549,0.0619406,-10.0079,15.9929,6.1894,10.3646,30.9669,-12.3835,
0.409571,0.287516,0.0627726,-10.1839,15.9175,6.15794,10.2267,31.0993,-12.4352,
0.4127,0.291506,0.0636086,-10.3587,15.8404,6.12582,10.0887,31.2311,-12.4867,
0.415818,0.295519,0.0644487,-10.5323,15.7617,6.09304,9.95047,31.3623,-12.5379,
0.418927,0.299555,0.0652927,-10.7048,15.6813,6.05962,9.81205,31.4928,-12.5889,
0.422026,0.303613,0.0661405,-10.876,15.5992,6.02555,9.67344,31.6227,-12.6396,
0.425115,0.307693,0.0669923,-11.0461,15.5156,5.99085,9.53464,31.752,-12.6901,
0.428193,0.311796,0.0678478,-11.2149,15.4303,5.95551,9.39566,31.8807,-12.7403,
0.431261,0.315921,0.068707,-11.3826,15.3435,5.91954,9.2565,32.0088,-12.7902,
0.434318,0.320067,0.06957,-11.5489,15.2551,5.88296,9.11717,32.1363,-12.84,
0.437364,0.324235,0.0704367,-11.714,15.1651,5.84576,8.97767,32.2632,-12.8894,
0.440399,0.328425,0.0713069,-11.8779,15.0735,5.80796,8.838,32.3894,-12.9386,
0.443422,0.332636,0.0721807,-12.0404,14.9805,5.76955,8.69817,32.5151,-12.9876,
0.446434,0.336868,0.073058,-12.2016,14.8859,5.73054,8.55819,32.6402,-13.0363,
0.449435,0.341122,0.0739388,-12.3616,14.7898,5.69095,8.41805,32.7646,-13.0848,
0.452424,0.345396,0.0748229,-12.5202,14.6922,5.65077,8.27776,32.8885,-13.1331,
0.455401,0.34969,0.0757105,-12.6774,14.5932,5.61001,8.13733,33.0118,-13.1811,
0.458366,0.354005,0.0766013,-12.8333,14.4927,5.56868,7.99676,33.1345,-13.2288,
