h_x,h_y,h_z
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.003
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.002
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228.001
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,228
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.999
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.998
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.997
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
0,0,227.996
